Year,Harbor seal harvest per capita,Native households harvesting harbor seal,Native households using harbor seal Harvest,Struck and lost,Total take
1995,0.15,25.6,92.3,23.6,23.6
1996,0.15,16.7,83.3,22.4,22.4
1997,0.13,16.1,80.6,20.2,20.2
1998,0.2,20.0,91.4,30.9,31.9
2000,0.32,25.8,96.8,52.9,56.8
2001,0.26,14.6,100.0,42.3,43.5
2002,0.24,17.8,100.0,40.0,52.0
2003,0.18,,,30.0,33.0
2004,0.18,14.9,100.0,30.2,42.7
2005,0.12,11.4,100.0,20.3,26.7
2006,0.14,15.4,100.0,23.6,28.7
2007,0.14,15.0,87.5,22.3,28.2
2008,0.2,15.2,89.1,33.7,41.9
