"","Site","avg","sd","sw_diversity","richness","evenness","evenness_log"
"1","Angoon",25,8.92337405091508,1.33139879413584,4,0.960401218872661,-0.040404145505627
"2","Beecher Pass",25,10.412889362667,1.30686855034688,4,0.942706388339595,-0.0590004039618619
"3","Chenega",25,17.235599561195,1.16739821439009,4,0.842099807321608,-0.171856735753237
"4","Coffman Cove",25,8.99928449520842,1.3310852736438,4,0.960175061643121,-0.040639655266816
"5","Cooper Landing",24.9978780291134,22.3831989248949,1.03518457113544,4,0.746727823590936,-0.29205451956032
"6","Cordova",24.998917950929,16.0784810277874,1.18620734832311,4,0.855667729445898,-0.155873144731691
"7","Craig",24.999615161409,6.27582168178737,1.36055858200549,4,0.981435559549117,-0.0187389224906819
"8","Edna Bay",25,14.0667074484671,1.25297441307249,4,0.903829986050219,-0.101114004805583
"9","Elfin Cove",25,10.7542918052154,1.31167715433206,4,0.946175062901108,-0.0553276711301602
"10","Game Creek",25,8.4002321878328,1.3470075789192,4,0.971660577073289,-0.028748736048289
"11","Gustavus",25,9.29716789370217,1.32513874645547,4,0.955885549000563,-0.0451170917162392
"12","Haines",25,20.5911578362188,1.10638521373884,4,0.798088230586949,-0.225536122998849
"13","Hollis",24.9988009017219,5.31432889490413,1.3679095618093,4,0.986738170603434,-0.0133505527517959
"14","Hoonah",24.9935568532174,5.25163922191402,1.36839698129216,4,0.987089769438816,-0.0129942918721436
"15","Hope",25,23.8108403021915,1.00571702589111,4,0.72547148289535,-0.320933514259718
"16","Hydaburg",24.9997315467375,10.4200637044892,1.32213492366247,4,0.95371874887698,-0.0473864634975229
"17","Hyder",25,12.5661802575243,1.29440493405855,4,0.933715789634238,-0.0685831808135252
"18","Kake",24.9994075236596,6.86998170608645,1.35509640600434,4,0.97749543243446,-0.022761659834853
"19","Kasaan",25,9.15852958216959,1.33999407576393,4,0.966601403962607,-0.0339690670969267
"20","Klawock",25,8.52190515252452,1.34323120058102,4,0.968936495922786,-0.031556204922327
"21","Klukwan",25,39.6508432272132,0.583365230400893,4,0.420809062463208,-0.865576081518657
"22","Metlakatla",25,4.93462811016488,1.37190103509437,4,0.989617409960539,-0.0104368651316331
"23","Meyers Chuck",25,13.346937609466,1.27151950652891,4,0.917207443231421,-0.0864216128640439
"24","Moose Pass",24.953786506517,16.0450414637645,1.20467024567799,4,0.86898589467306,-0.140428385525051
"25","Naukati Bay",25,9.27921117942088,1.33242604501558,4,0.961142223747638,-0.0396328853870441
"26","Pelican",25,10.1607170025768,1.31590847813521,4,0.949227317834707,-0.0521069749835148
"27","Petersburg",25,10.0170319029917,1.31571845229155,4,0.949090243163564,-0.0522513919917098
"28","Point Baker",25,9.94289677078834,1.31614450441223,4,0.949397574804395,-0.0519276273189985
"29","Port Alexander",25,14.5819528661537,1.24637322179618,4,0.899068233091072,-0.106396348512968
"30","Port Protection",25,8.1340647460731,1.34689314837398,4,0.971578032883229,-0.0288336913282902
"31","Saxman",25,9.79056056986483,1.33034181868588,4,0.959638772252661,-0.0411983442344037
"32","Seward",24.9431007938526,19.6299729177954,1.14618922681227,4,0.82680075672121,-0.190191535934001
"33","Sitka",25,9.39042014837915,1.32628743037917,4,0.9567141493007,-0.0442506267129117
"34","Skagway",25,21.4600950808299,1.06595015570035,4,0.768920501731854,-0.262767693582664
"35","Tatitlek",25,15.3253587125398,1.22345683135461,4,0.88253755166851,-0.124953939614239
"36","Tenakee Springs",25,10.5012394268136,1.31120882861589,4,0.945837237306982,-0.0556847783198744
"37","Thorne Bay",25,11.5342712013255,1.29745616523248,4,0.935916787675852,-0.0662287085122807
"38","Valdez",24.9979292192871,16.9594935420322,1.12756551091252,4,0.81336658543546,-0.206573366466593
"39","Whale Pass",24.99449409951,11.1228186284121,1.30672265578058,4,0.942601147655948,-0.0591120469503369
"40","Whitestone",25,13.6341751718258,1.26758365083976,4,0.914368323489226,-0.0895218089550067
"41","Whittier",25,18.6407643431071,1.10479084359713,4,0.79693813563856,-0.226978224737176
"42","Wrangell",25,8.34245360665875,1.34167902366757,4,0.967816836954973,-0.0327124276312704
"43","Yakutat",25,15.6705938594481,1.23991724685873,4,0.894411231577897,-0.111589618992555
