"","Community","Longitude","Latitude","focal_site"
"1","Angoon",-134.577745,57.496183,"no"
"2","Beecher Pass",-133.013738,56.590993,"no"
"3","Coffman Cove",-132.825342,56.008579,"no"
"4","Craig",-133.129256,55.478846,"no"
"5","Edna Bay",-133.65418,55.953246,"no"
"6","Elfin Cove",-136.346574,58.191077,"no"
"7","Game Creek",-135.504652,58.069584,"no"
"8","Gustavus",-135.754677,58.420246,"no"
"9","Haines",-135.455916,59.233953,"no"
"10","Hollis",-132.644925,55.490455,"no"
"11","Hoonah",-135.441649,58.112167,"yes"
"12","Hydaburg",-132.824562,55.206919,"no"
"13","Hyder",-130.034359,55.927009,"no"
"14","Kake",-133.929209,56.97043,"no"
"15","Kasaan",-132.408326,55.541808,"no"
"16","Klawock",-133.081248,55.554184,"no"
"17","Klukwan",-135.889402,59.399775,"no"
"18","Metlakatla",-131.578164,55.128415,"yes"
"19","Meyers Chuck",-132.254809,55.739387,"no"
"20","Naukati Bay",-133.193628,55.86967,"no"
"21","Pelican",-136.219241,57.957799,"no"
"22","Petersburg",-132.947683,56.803826,"no"
"23","Point Baker",-133.620584,56.350473,"no"
"24","Port Alexander",-134.64373,56.25027,"no"
"25","Port Protection",-133.608328,56.319902,"no"
"26","Saxman",-131.593603,55.318366,"no"
"27","Sitka",-135.325489,57.053023,"no"
"28","Skagway",-135.317726,59.451851,"no"
"29","Tenakee Springs",-135.202494,57.781732,"no"
"30","Thorne Bay",-132.512849,55.681399,"no"
"31","Whale Pass",-133.128901,56.122591,"no"
"32","Whitestone",-135.434401,58.087258,"no"
"33","Wrangell",-132.365516,56.466941,"no"
"34","Yakutat",-139.718794,59.554415,"no"
"35","Seward",-149.447663,60.100725,"no"
"36","Chenega",-148.013365,60.066038,"no"
"37","Cooper Landing",-149.828926,60.488042,"no"
"38","Cordova",-145.757468,60.536383,"yes"
"39","Hope",-149.636076,60.91365,"no"
"40","Moose Pass",-149.373323,60.49107,"no"
"41","Port San Juan",-148.060977,60.048089,"no"
"42","Tatitlek",-146.673937,60.863616,"no"
"43","Valdez",-146.342336,61.131426,"no"
"44","Whittier",-148.717082,60.774812,"no"
